year_month,industry,ratio,country
201906,K-패션,10.21,일본
201906,K-문화체험,0.36,일본
201906,K-나이트컬처,0.7,일본
201906,K-스포츠,0.32,일본
201906,K-공연,0.43,일본
201907,K-라이프스타일푸드,28.44,일본
201907,K-쇼핑,35.15,일본
201907,K-한식,13.78,일본
201907,K-뷰티웰니스,10.98,일본
201907,K-패션,9.78,일본
201907,K-문화체험,0.37,일본
201907,K-나이트컬처,0.69,일본
201907,K-스포츠,0.31,일본
201907,K-공연,0.51,일본
201908,K-라이프스타일푸드,31.21,일본
201908,K-쇼핑,34.07,일본
201908,K-한식,14.26,일본
201908,K-뷰티웰니스,9.44,일본
201908,K-패션,9.0,일본
201908,K-문화체험,0.59,일본
201908,K-나이트컬처,0.66,일본
201908,K-스포츠,0.33,일본
201908,K-공연,0.44,일본
201909,K-라이프스타일푸드,31.52,일본
201909,K-쇼핑,33.23,일본
201909,K-한식,14.01,일본
201909,K-뷰티웰니스,9.68,일본
201909,K-패션,9.81,일본
201909,K-문화체험,0.46,일본
201909,K-나이트컬처,0.72,일본
201909,K-스포츠,0.28,일본
201909,K-공연,0.29,일본
201910,K-라이프스타일푸드,31.89,일본
201910,K-쇼핑,32.23,일본
201910,K-한식,14.81,일본
201910,K-뷰티웰니스,9.63,일본
201910,K-패션,9.51,일본
201910,K-문화체험,0.45,일본
201910,K-나이트컬처,0.75,일본
201910,K-스포츠,0.31,일본
201910,K-공연,0.42,일본
201911,K-라이프스타일푸드,30.19,일본
201911,K-쇼핑,33.0,일본
201911,K-한식,14.38,일본
201911,K-뷰티웰니스,10.08,일본
201911,K-패션,10.6,일본
201911,K-문화체험,0.38,일본
201911,K-나이트컬처,0.72,일본
201911,K-스포츠,0.25,일본
201911,K-공연,0.4,일본
201912,K-라이프스타일푸드,30.15,일본
201912,K-쇼핑,33.63,일본
201912,K-한식,14.78,일본
201912,K-뷰티웰니스,10.03,일본
201912,K-패션,9.73,일본
201912,K-문화체험,0.38,일본
201912,K-나이트컬처,0.71,일본
201912,K-스포츠,0.24,일본
201912,K-공연,0.36,일본
202001,K-라이프스타일푸드,30.01,일본
202001,K-쇼핑,33.94,일본
202001,K-한식,14.28,일본
202001,K-뷰티웰니스,10.48,일본
202001,K-패션,9.57,일본
202001,K-문화체험,0.41,일본
202001,K-나이트컬처,0.7,일본
202001,K-스포츠,0.25,일본
202001,K-공연,0.34,일본
202002,K-라이프스타일푸드,31.66,일본
202002,K-쇼핑,31.06,일본
202002,K-한식,14.14,일본
202002,K-뷰티웰니스,11.1,일본
202002,K-패션,10.48,일본
202002,K-문화체험,0.4,일본
202002,K-나이트컬처,0.66,일본
202002,K-스포츠,0.2,일본
202002,K-공연,0.3,일본
202003,K-라이프스타일푸드,43.79,일본
202003,K-쇼핑,28.31,일본
202003,K-한식,14.41,일본
202003,K-뷰티웰니스,6.7,일본
202003,K-패션,4.41,일본
202003,K-문화체험,0.74,일본
202003,K-나이트컬처,1.08,일본
202003,K-스포츠,0.38,일본
202003,K-공연,0.19,일본
202004,K-라이프스타일푸드,44.67,일본
202004,K-쇼핑,30.42,일본
202004,K-한식,13.33,일본
202004,K-뷰티웰니스,5.69,일본
202004,K-패션,2.79,일본
202004,K-문화체험,0.97,일본
202004,K-나이트컬처,1.38,일본
202004,K-스포츠,0.66,일본
202004,K-공연,0.09,일본
202005,K-라이프스타일푸드,44.73,일본
202005,K-쇼핑,28.93,일본
202005,K-한식,13.27,일본
202005,K-뷰티웰니스,6.05,일본
202005,K-패션,3.62,일본
202005,K-문화체험,1.01,일본
202005,K-나이트컬처,1.46,일본
202005,K-스포츠,0.78,일본
202005,K-공연,0.13,일본
202006,K-라이프스타일푸드,45.37,일본
202006,K-쇼핑,27.69,일본
202006,K-한식,13.24,일본
202006,K-뷰티웰니스,6.6,일본
202006,K-패션,3.57,일본
202006,K-문화체험,1.02,일본
202006,K-나이트컬처,1.47,일본
202006,K-스포츠,0.82,일본
202006,K-공연,0.22,일본
202007,K-라이프스타일푸드,46.31,일본
202007,K-쇼핑,26.45,일본
202007,K-한식,14.22,일본
202007,K-뷰티웰니스,5.92,일본
202007,K-패션,3.23,일본
202007,K-문화체험,1.07,일본
202007,K-나이트컬처,1.68,일본
202007,K-스포츠,0.86,일본
202007,K-공연,0.26,일본
202008,K-라이프스타일푸드,46.57,일본
202008,K-쇼핑,27.3,일본
202008,K-한식,14.15,일본
202008,K-뷰티웰니스,5.45,일본
202008,K-패션,2.81,일본
202008,K-문화체험,0.91,일본
202008,K-나이트컬처,1.57,일본
202008,K-스포츠,0.93,일본
202008,K-공연,0.32,일본
202009,K-라이프스타일푸드,45.4,일본
202009,K-쇼핑,29.47,일본
202009,K-한식,14.22,일본
202009,K-뷰티웰니스,5.55,일본
202009,K-패션,2.84,일본
202009,K-문화체험,0.5,일본
202009,K-나이트컬처,1.11,일본
202009,K-스포츠,0.75,일본
202009,K-공연,0.16,일본
202010,K-라이프스타일푸드,46.48,일본
202010,K-쇼핑,27.07,일본
202010,K-한식,15.02,일본
202010,K-뷰티웰니스,5.18,일본
202010,K-패션,3.18,일본
202010,K-문화체험,0.71,일본
202010,K-나이트컬처,1.41,일본
202010,K-스포츠,0.77,일본
202010,K-공연,0.18,일본
202011,K-라이프스타일푸드,45.67,일본
202011,K-쇼핑,28.39,일본
202011,K-한식,15.46,일본
202011,K-뷰티웰니스,5.04,일본
202011,K-패션,2.73,일본
202011,K-문화체험,0.68,일본
202011,K-나이트컬처,1.21,일본
202011,K-스포츠,0.7,일본
202011,K-공연,0.12,일본
202012,K-라이프스타일푸드,42.91,일본
202012,K-쇼핑,32.81,일본
202012,K-한식,14.14,일본
202012,K-뷰티웰니스,5.8,일본
202012,K-패션,2.55,일본
202012,K-문화체험,0.61,일본
202012,K-나이트컬처,0.7,일본
202012,K-스포츠,0.4,일본
202012,K-공연,0.07,일본
202101,K-라이프스타일푸드,44.8,일본
202101,K-쇼핑,30.74,일본
202101,K-한식,14.61,일본
202101,K-뷰티웰니스,5.85,일본
202101,K-패션,2.15,일본
202101,K-문화체험,0.57,일본
202101,K-나이트컬처,0.76,일본
202101,K-스포츠,0.43,일본
202101,K-공연,0.08,일본
202102,K-라이프스타일푸드,45.5,일본
202102,K-쇼핑,29.38,일본
202102,K-한식,14.48,일본
202102,K-뷰티웰니스,5.45,일본
202102,K-패션,2.66,일본
202102,K-문화체험,0.76,일본
202102,K-나이트컬처,0.93,일본
202102,K-스포츠,0.62,일본
202102,K-공연,0.24,일본
202103,K-라이프스타일푸드,46.02,일본
202103,K-쇼핑,28.1,일본
202103,K-한식,15.09,일본
202103,K-뷰티웰니스,5.05,일본
202103,K-패션,3.13,일본
202103,K-문화체험,0.77,일본
202103,K-나이트컬처,1.05,일본
202103,K-스포츠,0.57,일본
202103,K-공연,0.21,일본
202104,K-라이프스타일푸드,48.49,일본
202104,K-쇼핑,25.58,일본
202104,K-한식,15.77,일본
202104,K-뷰티웰니스,4.64,일본
202104,K-패션,2.94,일본
202104,K-문화체험,0.74,일본
202104,K-나이트컬처,1.06,일본
202104,K-스포츠,0.54,일본
202104,K-공연,0.25,일본
202105,K-라이프스타일푸드,48.51,일본
202105,K-쇼핑,25.77,일본
202105,K-한식,15.1,일본
202105,K-뷰티웰니스,4.66,일본
202105,K-패션,3.01,일본
202105,K-문화체험,0.94,일본
202105,K-나이트컬처,1.1,일본
202105,K-스포츠,0.71,일본
202105,K-공연,0.2,일본
202106,K-라이프스타일푸드,48.92,일본
202106,K-쇼핑,25.37,일본
202106,K-한식,14.72,일본
202106,K-뷰티웰니스,5.11,일본
202106,K-패션,3.21,일본
202106,K-문화체험,0.85,일본
202106,K-나이트컬처,1.02,일본
202106,K-스포츠,0.61,일본
202106,K-공연,0.18,일본
202107,K-라이프스타일푸드,49.62,일본
202107,K-쇼핑,26.19,일본
202107,K-한식,14.18,일본
202107,K-뷰티웰니스,4.84,일본
202107,K-패션,2.73,일본
202107,K-문화체험,0.66,일본
202107,K-나이트컬처,0.9,일본
202107,K-스포츠,0.6,일본
202107,K-공연,0.29,일본
202108,K-라이프스타일푸드,49.43,일본
202108,K-쇼핑,25.78,일본
202108,K-한식,14.28,일본
202108,K-뷰티웰니스,5.03,일본
202108,K-패션,3.1,일본
202108,K-문화체험,0.86,일본
202108,K-나이트컬처,0.74,일본
202108,K-스포츠,0.57,일본
202108,K-공연,0.21,일본
202109,K-라이프스타일푸드,49.28,일본
202109,K-쇼핑,25.67,일본
202109,K-한식,13.83,일본
202109,K-뷰티웰니스,4.88,일본
202109,K-패션,3.93,일본
202109,K-문화체험,0.92,일본
202109,K-나이트컬처,0.74,일본
202109,K-스포츠,0.56,일본
202109,K-공연,0.19,일본
202110,K-라이프스타일푸드,50.24,일본
202110,K-쇼핑,23.97,일본
202110,K-한식,14.99,일본
202110,K-뷰티웰니스,4.37,일본
202110,K-패션,3.92,일본
202110,K-문화체험,0.94,일본
202110,K-나이트컬처,0.97,일본
202110,K-스포츠,0.42,일본
202110,K-공연,0.17,일본
202111,K-라이프스타일푸드,49.22,일본
202111,K-쇼핑,23.35,일본
202111,K-한식,16.1,일본
202111,K-뷰티웰니스,4.56,일본
202111,K-패션,3.36,일본
202111,K-문화체험,1.33,일본
202111,K-나이트컬처,1.33,일본
202111,K-스포츠,0.54,일본
202111,K-공연,0.2,일본
202112,K-라이프스타일푸드,48.2,일본
202112,K-쇼핑,26.29,일본
202112,K-한식,14.38,일본
202112,K-뷰티웰니스,5.17,일본
202112,K-패션,3.31,일본
202112,K-문화체험,1.05,일본
202112,K-나이트컬처,1.04,일본
202112,K-스포츠,0.39,일본
202112,K-공연,0.17,일본
202201,K-라이프스타일푸드,49.69,일본
202201,K-쇼핑,25.41,일본
202201,K-한식,14.42,일본
202201,K-뷰티웰니스,5.06,일본
202201,K-패션,2.88,일본
202201,K-문화체험,0.98,일본
202201,K-나이트컬처,0.86,일본
202201,K-스포츠,0.45,일본
202201,K-공연,0.24,일본
202202,K-라이프스타일푸드,48.29,일본
202202,K-쇼핑,27.25,일본
202202,K-한식,13.22,일본
202202,K-뷰티웰니스,5.53,일본
202202,K-패션,3.04,일본
202202,K-문화체험,1.11,일본
202202,K-나이트컬처,0.83,일본
202202,K-스포츠,0.42,일본
202202,K-공연,0.31,일본
202203,K-라이프스타일푸드,48.44,일본
202203,K-쇼핑,26.28,일본
202203,K-한식,14.25,일본
202203,K-뷰티웰니스,5.17,일본
202203,K-패션,3.27,일본
202203,K-문화체험,1.08,일본
202203,K-나이트컬처,0.88,일본
202203,K-스포츠,0.38,일본
202203,K-공연,0.26,일본
202204,K-라이프스타일푸드,51.33,일본
202204,K-쇼핑,22.6,일본
202204,K-한식,15.03,일본
202204,K-뷰티웰니스,4.5,일본
202204,K-패션,3.48,일본
202204,K-문화체험,1.15,일본
202204,K-나이트컬처,1.2,일본
202204,K-스포츠,0.45,일본
202204,K-공연,0.26,일본
202205,K-라이프스타일푸드,49.52,일본
202205,K-쇼핑,22.93,일본
202205,K-한식,15.37,일본
202205,K-뷰티웰니스,4.69,일본
202205,K-패션,3.49,일본
202205,K-문화체험,1.63,일본
202205,K-나이트컬처,1.49,일본
202205,K-스포츠,0.54,일본
202205,K-공연,0.33,일본
202206,K-라이프스타일푸드,48.16,일본
202206,K-쇼핑,24.09,일본
202206,K-한식,15.35,일본
202206,K-뷰티웰니스,4.87,일본
202206,K-패션,3.5,일본
202206,K-문화체험,1.77,일본
