year_month,country,visitor_count,exchange_rate,oil_price,buzz_volume,engagement,potential_exposure,positive_pct,negative_pct,date,month,quarter,season,is_peak_season,visitor_lag1,visitor_lag2,visitor_lag3,visitor_mom_growth,visitor_3m_avg,visitor_6m_avg,visitor_vs_3m_avg,visitor_rolling_std,total_visitors_month,country_share,buzz_lag1,engagement_lag1,exposure_lag1,buzz_mom_growth,engagement_mom_growth,exposure_mom_growth,engagement_per_visitor,buzz_per_visitor,buzz_3m_avg,buzz_vs_3m_avg,priority_score,priority_label,hallyu_spend_count,hallyu_lag1,hallyu_mom_growth,hallyu_per_visitor,ml_priority_score,ml_pred_label
202301,미국,49120.0,1228.7,80.42,58369,420344,798025,86.62887629209737,13.371123707902637,2023-01-01,1,1,winter,0,63352.0,64861.0,73560.0,-0.2246495769667887,67257.66666666667,61074.833333333336,0.7303256629975269,5509.884239558355,217220.0,0.226130190590185,61801.0,430441.0,798025.0,-0.0555330819889645,-0.023457337939462,0.0,8.557491856677524,1.188293973941368,68205.66666666667,0.8557793340729264,0.3012191396116123,Medium,1325505.0,1692700.0,-0.2169285756483724,26.98503664495114,13.5,Medium
202302,미국,46204.0,1317.4,82.11,57324,259104,798025,86.5315852205006,13.468414779499405,2023-02-01,2,1,winter,0,49120.0,63352.0,64861.0,-0.0593648208469055,59111.0,60271.16666666666,0.7816480858046726,8685.293950120535,250688.0,0.1843087822312994,58369.0,420344.0,798025.0,-0.0179033391012352,-0.3835905829511067,0.0,5.607826162237036,1.240671803307073,64692.66666666666,0.8860973423056709,0.4588244822398443,Medium,1325089.0,1325505.0,-0.0003138426486508,28.67909704787464,16.6,Medium
202303,미국,86430.0,1303.8,78.51,60316,588219,798025,89.80163076548618,10.198369234513812,2023-03-01,3,1,spring,1,46204.0,49120.0,63352.0,0.8706172625746689,52892.0,59588.66666666666,1.63408454964834,9175.20920742413,442797.0,0.1951910243294331,57324.0,259104.0,798025.0,0.0521945432977461,1.2702042423119675,0.0,6.805727178063172,0.6978595395117436,59164.66666666666,1.019459812726064,0.5205324246854027,High,2068563.0,1325089.0,0.5610747655440502,23.9333911836168,86.2,High
202304,미국,108818.0,1339.9,83.44,75696,282849,798025,72.96929964822513,27.03070035177487,2023-04-01,4,2,spring,1,86430.0,46204.0,49120.0,0.2590304292491033,60584.66666666666,63921.16666666666,1.796131034255092,22430.15170107713,458419.0,0.2373767230415842,60316.0,588219.0,798025.0,0.2549903839777173,-0.5191433802716335,0.0,2.5992850447536253,0.6956202098917459,58669.66666666666,1.2902067507911528,0.6930363999051758,High,2311601.0,2068563.0,0.1174912245844095,21.242818283739823,84.3,High
202305,미국,101915.0,1322.2,74.96,74749,761785,998571,88.86445847223207,11.135541527767929,2023-05-01,5,2,spring,1,108818.0,86430.0,46204.0,-0.0634361962175375,80484.0,69797.5,1.26627652701158,31727.66042430484,509048.0,0.2002070531659097,75696.0,282849.0,798025.0,-0.01251056859015,1.6932568260803469,0.2513029040443595,7.474709316587353,0.7334445371142618,64445.333333333336,1.1598822774858275,0.6311889497791398,High,2411075.0,2311601.0,0.0430325129639587,23.6577049502036,83.0,High
202306,미국,121378.0,1312.8,74.99,141537,543906,998571,88.93610993058508,11.063890069414931,2023-06-01,6,2,summer,0,101915.0,108818.0,86430.0,0.1909728695481528,99054.33333333331,75973.16666666667,1.225367895733991,11464.867916087473,615164.0,0.1973099856298483,74749.0,761785.0,998571.0,0.8934969029686016,-0.2860111448768353,0.0,4.481092125426354,1.1660844634118208,70253.66666666667,2.014656411764985,0.5970119832879357,Medium,2676523.0,2411075.0,0.1100952894455792,22.05113776796454,31.7,Medium
202307,미국,104823.0,1280.0,80.45,77134,423947,998571,86.73222390317702,13.267776096822995,2023-07-01,7,3,summer,0,121378.0,101915.0,108818.0,-0.136392097414688,110703.66666666669,85644.16666666667,0.94687920604858,9867.567903659505,684189.0,0.1532076663027321,141537.0,543906.0,998571.0,-0.4550258942891258,-0.2205509775586222,0.0,4.044408192858437,0.7358499565934957,97327.33333333331,0.7925214568021317,0.2882229191980737,Low,2590058.0,2676523.0,-0.0323049717861568,24.70887114469153,8.7,Low
202308,미국,83250.0,1321.4,86.46,92956,425851,998571,89.21355819001504,10.786441809984971,2023-08-01,8,3,summer,0,104823.0,121378.0,101915.0,-0.2058040697175238,109372.0,94928.0,0.7611637347767253,10498.6733923862,748247.0,0.1112600518278055,77134.0,423947.0,998571.0,0.2051235512225477,0.0044911274286644,0.0,5.115327327327328,1.116588588588589,97806.66666666669,0.9504055619930476,0.3145781251484749,Medium,2120234.0,2590058.0,-0.1813951656681047,25.46827627627628,5.1,Medium
202309,미국,96925.0,1344.8,93.25,80796,543890,998571,89.24027626317704,10.759723736822972,2023-09-01,9,3,fall,1,83250.0,104823.0,121378.0,0.1642642642642642,103150.33333333331,101102.33333333331,0.9396479571886988,19118.95541951316,733802.0,0.132086039558355,92956.0,425851.0,998571.0,-0.130814578940574,0.2771838037247769,0.0,5.611452153727108,0.8335929842661852,103875.66666666669,0.7778145025944478,0.5573591297469458,Medium,2279976.0,2120234.0,0.0753416839839376,23.523095176683004,25.9,Medium
202310,미국,115763.0,1352.8,89.75,83364,663618,998571,93.64630699274916,6.35369300725083,2023-10-01,10,4,fall,1,96925.0,83250.0,104823.0,0.1943564611813257,94999.33333333331,102851.5,1.2185664460803234,10914.65649176978,758558.0,0.1526092928952038,80796.0,543890.0,998571.0,0.0317837516708748,0.2201327474305466,0.0,5.7325570346311,0.7201264652781977,83628.66666666667,0.9968352159945154,0.6784236732410351,High,2587782.0,2279976.0,0.1350040526742386,22.35413733230825,87.4,High
