visitor_count,visitor_lag1,visitor_lag2,visitor_lag3,visitor_mom_growth,visitor_3m_avg,visitor_6m_avg,visitor_vs_3m_avg,visitor_rolling_std,country_share,buzz_volume,engagement,potential_exposure,buzz_mom_growth,engagement_mom_growth,exposure_mom_growth,engagement_per_visitor,buzz_per_visitor,buzz_vs_3m_avg,positive_pct,negative_pct,month,quarter,is_peak_season,exchange_rate,oil_price,priority_label
101779.0,113072.0,98510.0,94559.0,-0.09987441630111787,102047.0,94928.0,0.9973737591501955,9750.157383345157,0.09774168208000338,51751,432200,1054470,-0.01539193302891933,-0.14421264395127437,2.0732620055900277,4.246455555664725,0.5084644180037139,1.0476688553131472,80.09950248756219,19.900497512437813,5,2,1,38.08,69.38,Medium
118437.0,101779.0,113072.0,98510.0,0.16366834022735535,104453.66666666667,97197.0,1.1338711581849688,7640.5721208122495,0.11354916274066532,45834,628010,1054470,-0.11433595486077563,0.45305414160111057,0.0,5.302481488048499,0.38699055193900556,0.9031685977772523,77.77777777777779,22.22222222222222,6,2,0,37.35,61.78,High
113587.0,118437.0,101779.0,113072.0,-0.04095004095004095,111096.0,102385.16666666667,1.0224220493987182,8502.980242244483,0.1067533949303251,71621,1586810,1054470,0.5626172710215124,1.5267272814127164,0.0,13.969996566508492,0.6305387060138924,1.4310366645575943,59.91189427312775,40.08810572687225,7,3,0,38.08,63.28,Medium
109273.0,113587.0,118437.0,101779.0,-0.037979698380976694,111267.66666666667,106657.33333333333,0.9820732587783813,8567.772250318829,0.093429185323633,112260,936928,1054470,0.5674173775847866,-0.4095524984087572,0.0,8.574194906335508,1.0273352063181207,1.9903549519520585,72.88135593220339,27.11864406779661,8,3,0,38.8,59.13,Medium
102758.0,109273.0,113587.0,118437.0,-0.05962131542100976,113765.66666666667,109109.66666666667,0.9032426303190476,4584.611797451705,0.09957585442029077,75789,671943,1054470,-0.3248797434526991,-0.28282322654462244,0.0,6.539082115261099,0.7375484147219681,0.9897786387480138,85.79234972677595,14.207650273224044,9,3,1,38.69,61.13,High
127944.0,102758.0,109273.0,113587.0,0.24510013818875417,108539.33333333333,109817.66666666667,1.1787800428723227,5451.65207376015,0.11517946603554302,72320,1022868,1054470,-0.04577181385161435,0.5222541197690875,0.0,7.9946539110861,0.5652472956918652,0.8355220087033542,84.30744595676542,15.692554043234589,10,4,1,38.49,59.39,High
102241.0,127944.0,102758.0,109273.0,-0.20089257800287627,113325.0,112296.33333333333,0.9021928082947276,13072.783827479134,0.10153331280971628,72371,920164,1054470,0.0007051991150442478,-0.10040787276559635,0.0,8.999951095939984,0.7078471454700169,0.8338665509334828,81.33514986376021,18.66485013623978,11,4,0,38.74,61.99,Medium
90379.0,102241.0,127944.0,102758.0,-0.11601999197973416,110981.0,112373.33333333333,0.8143646209711572,14692.66310101746,0.09004134495641344,89449,910057,1054470,0.2359784996752843,-0.010983911563590838,0.0,10.069341329291097,0.9897099990041934,1.2171035921625546,81.67239404352806,18.32760595647193,12,4,0,38.47,64.91,Medium
110354.0,90379.0,102241.0,127944.0,0.22101373106584493,106854.66666666667,107697.0,1.0327485307146154,19202.779651220637,0.11863202400289824,123025,797701,1054470,0.3753647329763329,-0.12346039863437125,0.0,7.228564438081085,1.1148213929717092,1.5763005039719824,55.689368770764126,44.31063122923588,1,1,0,39.45,64.32,High
53042.0,110354.0,90379.0,102241.0,-0.5193468292948149,100991.33333333333,107158.16666666667,0.5252133846468674,10045.964679080525,0.12285862525826206,131761,436979,1054470,0.0710099573257468,-0.45220201554216427,0.0,8.238358282116058,2.484088081143245,1.3877126156330637,35.26970954356847,64.73029045643153,2,1,0,40.33,54.23,High
